market_name,12_hour_outage_site_count,market_site_count,percent_12_hour_outage
ALBUQUERQUE NM,0,14,0.0%
ARKANSAS,6,46,13.0%
ATLANTA,3,266,1.1%
AUSTIN TX,0,7,0.0%
BIRMINGHAM,0,24,0.0%
CENTRAL PA,0,52,0.0%
CINCINNATI,0,3,0.0%
CLEVELAND,2,10,20.0%
COLUMBUS,0,17,0.0%
DALLAS TX,14,119,11.8%
DES MOINES IA,3,52,5.8%
EL PASO TX,1,16,6.3%
HOUSTON TX,0,22,0.0%
INDIANAPOLIS IN,0,2,0.0%
JACKSONVILLE,3,93,3.2%
KANSAS CITY KS,0,8,0.0%
LOUISVILLE,3,168,1.8%
MEMPHIS,4,5,80.0%
MILWAUKEE,0,5,0.0%
MINNEAPOLIS MN,0,20,0.0%
MOBILE,1,1,100.0%
NORTH CAROLINA,0,39,0.0%
NY (UPSTATE),7,30,23.3%
OKLAHOMA CITY OK,1,16,6.3%
OMAHA,0,37,0.0%
ORLANDO,0,5,0.0%
PHILADELPHIA PA,0,8,0.0%
PITTSBURGH PA,6,35,17.1%
SOUTH CAROLINA,0,9,0.0%
ST. LOUIS,3,6,50.0%
TULSA OK,1,15,6.7%
WEST VIRGINIA,2,33,6.1%
WICHITA KS,1,1,100.0%
